property_url,property_code,property_type,price_eur,cadastral_income_eur,postal_code,locality_name,state_of_the_property,currently_leased,build_year,bedrooms,bathrooms,toilets,livable_surface_m2,total_land_surface_m2,terrace_m2,garden_m2,heating_type,epc_kwh_m2_year,swimming_pool
https://immovlan.be/en/detail/penthouse/for-sale/1300/wavre/vbd78023,VBD78023,penthouse,585000,,1300,Wavre,New,No,2025,3,2,2,164,,37,,,45,
https://immovlan.be/en/detail/apartment/for-sale/1420/braine-l-alleud/vbd78021,VBD78021,apartment,439000,,1420,Braine-l'Alleud,New,,2023,3,2,2,126,,14,,Gas,93,
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd78018,VBD78018,apartment,899000,,1300,Wavre,New,,2026,4,3,3,168,,105,,,85,
https://immovlan.be/en/detail/residence/for-sale/1370/saint-jean-geest/vbd77988,VBD77988,house,425000,,1370,Saint-Jean-Geest,To be renovated,No,1992,3,2,2,200,1235,,,Fuel oil,318,
https://immovlan.be/en/detail/apartment/for-sale/9920/lievegem/rbv08591,RBV08591,apartment,179500,443,9920,Lievegem,Excellent,No,1992,1,1,,43,,,,Electricity,396,
https://immovlan.be/en/detail/mixed-building/for-sale/9600/ronse/rbv08104,RBV08104,mixed-building,495000,1582,9600,Ronse,Normal,No,1976,6,4,4,200,107,,,,,No
https://immovlan.be/en/detail/residence/for-sale/9600/ronse/rbv03887,RBV03887,house,299000,642,9600,Ronse,Fully renovated,No,1956,5,2,2,171,240,,154,Fuel oil,368,No
https://immovlan.be/en/detail/residence/for-sale/9990/maldegem/rbu66095,RBU66095,house,550000,1598,9990,Maldegem,Excellent,No,1993,4,2,,343,743,,,Gas,199,
https://immovlan.be/en/detail/apartment/for-sale/8300/knokke-heist/rbv09297,RBV09297,apartment,349000,746,8300,Knokke-Heist,Fully renovated,No,2000,1,1,1,73,,,,,222,
https://immovlan.be/en/detail/studio/for-sale/8800/roeselare/rbv09061,RBV09061,studio,92500,,8800,Roeselare,,No,1968,,1,1,37,,,,Gas,176,
https://immovlan.be/en/detail/residence/for-sale/8400/oostende/rbv08035,RBV08035,house,449000,1487,8400,Oostende,To be renovated,No,1970,2,1,1,180,448,21,287,Gas,495,
https://immovlan.be/en/detail/residence/for-sale/8490/jabbeke/rwc41650,RWC41650,house,459850,,8490,Jabbeke,Excellent,,2025,4,1,,212,,,,Not specified,20,
